Serial	ReadingDateTimeUTC	WH	VARH
METER000001	24-03-2020 08:00	27202827	6238666
METER000001	24-03-2020 08:30	27203227	6238729
METER000001	24-03-2020 09:00	27203640	6238798
METER000001	24-03-2020 09:30	27204055	6238865
METER000001	24-03-2020 10:00	27204476	6238942
METER000001	24-03-2020 10:30	27204903	6239019
METER000001	24-03-2020 11:00	27205317	6239091
METER000001	24-03-2020 11:30	27205743	6239156
METER000001	24-03-2020 12:00	27206172	6239230
METER000001	24-03-2020 12:30	27206592	6239306
METER000001	24-03-2020 13:00	27207026	6239383
METER000001	24-03-2020 13:30	27207457	6239461
METER000001	24-03-2020 14:00	27207866	6239540
METER000001	24-03-2020 14:30	27208289	6239618
METER000001	24-03-2020 15:00	27208703	6239698
METER000001	24-03-2020 15:30	27209117	6239776
METER000001	24-03-2020 16:00	27209505	6239855
METER000001	24-03-2020 16:30	27209756	6239934
METER000001	24-03-2020 17:00	27209918	6239991
METER000001	24-03-2020 17:30	27210062	6240037
METER000001	24-03-2020 18:00	27210208	6240078
METER000001	24-03-2020 18:30	27210327	6240119
METER000001	24-03-2020 19:00	27210441	6240164
METER000001	24-03-2020 19:30	27210552	6240208
METER000001	24-03-2020 20:00	27210657	6240252
METER000001	24-03-2020 20:30	27210758	6240296
METER000001	24-03-2020 21:00	27210860	6240340
METER000001	24-03-2020 21:30	27210961	6240384
METER000001	24-03-2020 22:00	27211063	6240428
METER000001	24-03-2020 22:30	27211164	6240473
METER000001	24-03-2020 23:00	27211265	6240514
METER000001	24-03-2020 23:30	27211365	6240556
METER000001	25-03-2020 00:00	27211466	6240599
METER000001	25-03-2020 00:30	27211567	6240642
METER000001	25-03-2020 01:00	27211668	6240684
METER000001	25-03-2020 01:30	27211770	6240726
METER000001	25-03-2020 02:00	27211869	6240769
METER000001	25-03-2020 02:30	27211967	6240813
METER000001	25-03-2020 03:00	27212066	6240858
METER000001	25-03-2020 03:30	27212178	6240902
METER000001	25-03-2020 04:00	27212323	6240945
METER000001	25-03-2020 04:30	27212456	6240989
METER000001	25-03-2020 05:00	27212581	6241036
METER000001	25-03-2020 05:30	27212740	6241081
METER000001	25-03-2020 06:00	27212897	6241127
METER000001	25-03-2020 06:30	27213153	6241180
METER000001	25-03-2020 07:00	27213489	6241250
METER000001	25-03-2020 07:30	27213895	6241335
METER000001	25-03-2020 08:00	27214313	6241419
METER000001	25-03-2020 08:30	27214745	6241507
METER000001	25-03-2020 09:00	27215184	6241590
METER000001	25-03-2020 09:30	27215613	6241673
METER000001	25-03-2020 10:00	27216049	6241761
METER000001	25-03-2020 10:30	27216482	6241846
METER000001	25-03-2020 11:00	27216922	6241928
METER000001	25-03-2020 11:30	27217351	6242013
METER000001	25-03-2020 12:00	27217787	6242100
METER000001	25-03-2020 12:30	27218235	6242186
METER000001	25-03-2020 13:00	27218685	6242277
METER000001	25-03-2020 13:30	27219125	6242367
METER000001	25-03-2020 14:00	27219566	6242458
METER000001	25-03-2020 14:30	27220020	6242542
METER000001	25-03-2020 15:00	27220477	6242625
METER000001	25-03-2020 15:30	27220908	6242706
METER000001	25-03-2020 16:00	27221298	6242787
METER000001	25-03-2020 16:30	27221602	6242872
METER000001	25-03-2020 17:00	27221772	6242942
METER000001	25-03-2020 17:30	27221906	6242997
METER000001	25-03-2020 18:00	27222024	6243048
METER000001	25-03-2020 18:30	27222140	6243098
METER000001	25-03-2020 19:00	27222254	6243146
METER000001	25-03-2020 19:30	27222365	6243196
METER000001	25-03-2020 20:00	27222472	6243244
METER000001	25-03-2020 20:30	27222579	6243293
METER000001	25-03-2020 21:00	27222686	6243340
METER000001	25-03-2020 21:30	27222795	6243389
METER000001	25-03-2020 22:00	27222903	6243438
METER000001	25-03-2020 22:30	27223010	6243486
METER000001	25-03-2020 23:00	27223117	6243534
METER000001	25-03-2020 23:30	27223223	6243582
METER000001	26-03-2020 00:00	27223329	6243628
METER000001	26-03-2020 00:30	27223438	6243675
METER000001	26-03-2020 01:00	27223544	6243723
METER000001	26-03-2020 01:30	27223650	6243769
METER000001	26-03-2020 02:00	27223757	6243816
METER000001	26-03-2020 02:30	27223870	6243860
METER000001	26-03-2020 03:00	27223987	6243909
METER000001	26-03-2020 03:30	27224105	6243959
METER000001	26-03-2020 04:00	27224220	6244008
METER000001	26-03-2020 04:30	27224336	6244054
METER000001	26-03-2020 05:00	27224465	6244100
METER000001	26-03-2020 05:30	27224606	6244149
METER000001	26-03-2020 06:00	27224776	6244195
METER000001	26-03-2020 06:30	27225066	6244244
METER000001	26-03-2020 07:00	27225426	6244316
METER000001	26-03-2020 07:30	27225827	6244395
METER000001	26-03-2020 08:00	27226220	6244477
METER000001	26-03-2020 08:30	27226608	6244561
METER000001	26-03-2020 09:00	27227013	6244639
METER000001	26-03-2020 09:30	27227425	6244714
METER000001	26-03-2020 10:00	27227842	6244793
METER000001	26-03-2020 10:30	27228255	6244872
METER000001	26-03-2020 11:00	27228668	6244951
METER000001	26-03-2020 11:30	27229084	6245027
METER000001	26-03-2020 12:00	27229484	6245094
METER000001	26-03-2020 12:30	27229879	6245151
METER000001	26-03-2020 13:00	27230277	6245216
METER000001	26-03-2020 13:30	27230682	6245289
METER000001	26-03-2020 14:00	27231072	6245359
METER000001	26-03-2020 14:30	27231445	6245420
METER000001	26-03-2020 15:00	27231777	6245487
METER000001	26-03-2020 15:30	27232082	6245555
METER000001	26-03-2020 16:00	27232359	6245621
METER000001	26-03-2020 16:30	27232617	6245688
METER000001	26-03-2020 17:00	27232783	6245740
METER000001	26-03-2020 17:30	27232901	6245777
METER000001	26-03-2020 18:00	27232995	6245808
METER000001	26-03-2020 18:30	27233084	6245836
METER000001	26-03-2020 19:00	27233177	6245865
METER000001	26-03-2020 19:30	27233270	6245893
METER000001	26-03-2020 20:00	27233364	6245920
METER000001	26-03-2020 20:30	27233457	6245947
METER000001	26-03-2020 21:00	27233550	6245974
METER000001	26-03-2020 21:30	27233642	6245999
METER000001	26-03-2020 22:00	27233729	6246023
METER000001	26-03-2020 22:30	27233817	6246048
METER000001	26-03-2020 23:00	27233909	6246077
METER000001	26-03-2020 23:30	27234003	6246106
METER000001	27-03-2020 00:00	27234095	6246134
METER000001	27-03-2020 00:30	27234188	6246163
METER000001	27-03-2020 01:00	27234280	6246188
METER000001	27-03-2020 01:30	27234372	6246216
METER000001	27-03-2020 02:00	27234463	6246244
METER000001	27-03-2020 02:30	27234553	6246271
METER000001	27-03-2020 03:00	27234643	6246296
METER000001	27-03-2020 03:30	27234733	6246322
METER000001	27-03-2020 04:00	27234825	6246352
METER000001	27-03-2020 04:30	27234915	6246379
METER000001	27-03-2020 05:00	27235006	6246407
METER000001	27-03-2020 05:30	27235099	6246432
METER000001	27-03-2020 06:00	27235210	6246460
METER000001	27-03-2020 06:30	27235350	6246494
METER000001	27-03-2020 07:00	27235506	6246541
METER000001	27-03-2020 07:30	27235667	6246594
METER000001	27-03-2020 08:00	27235839	6246646
METER000001	27-03-2020 08:30	27236004	6246697
METER000001	27-03-2020 09:00	27236162	6246747
METER000001	27-03-2020 09:30	27236322	6246794
METER000001	27-03-2020 10:00	27236481	6246842
METER000001	27-03-2020 10:30	27236629	6246894
METER000001	27-03-2020 11:00	27236772	6246946
METER000001	27-03-2020 11:30	27236897	6246985
METER000001	27-03-2020 12:00	27237014	6247021
METER000001	27-03-2020 12:30	27237135	6247055
METER000001	27-03-2020 13:00	27237256	6247091
METER000001	27-03-2020 13:30	27237377	6247127
METER000001	27-03-2020 14:00	27237495	6247161
METER000001	27-03-2020 14:30	27237612	6247192
METER000001	27-03-2020 15:00	27237728	6247220
METER000001	27-03-2020 15:30	27237842	6247244
METER000001	27-03-2020 16:00	27237932	6247264
METER000001	27-03-2020 16:30	27238019	6247290
METER000001	27-03-2020 17:00	27238101	6247310
METER000001	27-03-2020 17:30	27238178	6247324
METER000001	27-03-2020 18:00	27238254	6247338
METER000001	27-03-2020 18:30	27238329	6247353
METER000001	27-03-2020 19:00	27238405	6247368
METER000001	27-03-2020 19:30	27238481	6247383
METER000001	27-03-2020 20:00	27238556	6247397
METER000001	27-03-2020 20:30	27238631	6247409
METER000001	27-03-2020 21:00	27238706	6247419
METER000001	27-03-2020 21:30	27238781	6247429
METER000001	27-03-2020 22:00	27238855	6247438
METER000001	27-03-2020 22:30	27238931	6247451
METER000001	27-03-2020 23:00	27239006	6247467
METER000001	27-03-2020 23:30	27239080	6247482
METER000001	28-03-2020 00:00	27239155	6247497
METER000001	28-03-2020 00:30	27239229	6247510
METER000001	28-03-2020 01:00	27239303	6247523
METER000001	28-03-2020 01:30	27239376	6247534
METER000001	28-03-2020 02:00	27239449	6247544
METER000001	28-03-2020 02:30	27239522	6247558
METER000001	28-03-2020 03:00	27239593	6247566
METER000001	28-03-2020 03:30	27239666	6247577
METER000001	28-03-2020 04:00	27239739	6247593
METER000001	28-03-2020 04:30	27239812	6247607
METER000001	28-03-2020 05:00	27239885	6247621
METER000001	28-03-2020 05:30	27239958	6247633
METER000001	28-03-2020 06:00	27240036	6247646
METER000001	28-03-2020 06:30	27240128	6247661
METER000001	28-03-2020 07:00	27240232	6247684
METER000001	28-03-2020 07:30	27240339	6247713
METER000001	28-03-2020 08:00	27240445	6247742
METER000001	28-03-2020 08:30	27240549	6247770
METER000001	28-03-2020 09:00	27240652	6247797
METER000001	28-03-2020 09:30	27240757	6247820
METER000001	28-03-2020 10:00	27240857	6247844
METER000001	28-03-2020 10:30	27240957	6247872
METER000001	28-03-2020 11:00	27241056	6247899
METER000001	28-03-2020 11:30	27241154	6247925
METER000001	28-03-2020 12:00	27241253	6247951
METER000001	28-03-2020 12:30	27241352	6247978
METER000001	28-03-2020 13:00	27241451	6248006
METER000001	28-03-2020 13:30	27241550	6248034
METER000001	28-03-2020 14:00	27241648	6248062
METER000001	28-03-2020 14:30	27241747	6248090
METER000001	28-03-2020 15:00	27241845	6248116
METER000001	28-03-2020 15:30	27241935	6248138
METER000001	28-03-2020 16:00	27242017	6248154
METER000001	28-03-2020 16:30	27242095	6248167
METER000001	28-03-2020 17:00	27242171	6248176
METER000001	28-03-2020 17:30	27242247	6248189
METER000001	28-03-2020 18:00	27242323	6248204
METER000001	28-03-2020 18:30	27242398	6248218
METER000001	28-03-2020 19:00	27242474	6248233
METER000001	28-03-2020 19:30	27242551	6248248
METER000001	28-03-2020 20:00	27242626	6248262
METER000001	28-03-2020 20:30	27242702	6248276
METER000001	28-03-2020 21:00	27242777	6248288
METER000001	28-03-2020 21:30	27242852	6248299
METER000001	28-03-2020 22:00	27242928	6248307
METER000001	28-03-2020 22:30	27243003	6248319
METER000001	28-03-2020 23:00	27243079	6248335
METER000001	28-03-2020 23:30	27243155	6248350
METER000001	29-03-2020 00:00	27243230	6248366
METER000001	29-03-2020 00:30	27243304	6248381
METER000001	29-03-2020 01:00	27243380	6248397
METER000001	29-03-2020 01:30	27243454	6248412
METER000001	29-03-2020 02:00	27243527	6248427
METER000001	29-03-2020 02:30	27243600	6248440
METER000001	29-03-2020 03:00	27243673	6248449
METER000001	29-03-2020 03:30	27243747	6248461
METER000001	29-03-2020 04:00	27243821	6248477
METER000001	29-03-2020 04:30	27243894	6248492
METER000001	29-03-2020 05:00	27243967	6248507
METER000001	29-03-2020 05:30	27244043	6248523
METER000001	29-03-2020 06:00	27244128	6248546
METER000001	29-03-2020 06:30	27244214	6248572
METER000001	29-03-2020 07:00	27244301	6248598
METER000001	29-03-2020 07:30	27244400	6248625
METER000001	29-03-2020 08:00	27244499	6248653
METER000001	29-03-2020 08:30	27244599	6248682
METER000001	29-03-2020 09:00	27244697	6248710
METER000001	29-03-2020 09:30	27244795	6248736
METER000001	29-03-2020 10:00	27244894	6248763
METER000001	29-03-2020 10:30	27244994	6248792
METER000001	29-03-2020 11:00	27245087	6248815
METER000001	29-03-2020 11:30	27245176	6248832
METER000001	29-03-2020 12:00	27245265	6248848
METER000001	29-03-2020 12:30	27245344	6248860
METER000001	29-03-2020 13:00	27245421	6248871
METER000001	29-03-2020 13:30	27245496	6248883
METER000001	29-03-2020 14:00	27245572	6248897
METER000001	29-03-2020 14:30	27245649	6248909
METER000001	29-03-2020 15:00	27245726	6248917
METER000001	29-03-2020 15:30	27245803	6248923
METER000001	29-03-2020 16:00	27245879	6248931
METER000001	29-03-2020 16:30	27245955	6248943
METER000001	29-03-2020 17:00	27246031	6248956
METER000001	29-03-2020 17:30	27246106	6248966
METER000001	29-03-2020 18:00	27246182	6248978
METER000001	29-03-2020 18:30	27246257	6248992
METER000001	29-03-2020 19:00	27246333	6249006
METER000001	29-03-2020 19:30	27246409	6249019
METER000001	29-03-2020 20:00	27246484	6249033
METER000001	29-03-2020 20:30	27246559	6249047
METER000001	29-03-2020 21:00	27246633	6249061
METER000001	29-03-2020 21:30	27246708	6249071
METER000001	29-03-2020 22:00	27246782	6249080
METER000001	29-03-2020 22:30	27246857	6249090
METER000001	29-03-2020 23:00	27246933	6249102
METER000001	29-03-2020 23:30	27247008	6249117
METER000001	30-03-2020 00:00	27247083	6249133
METER000001	30-03-2020 00:30	27247157	6249148
METER000001	30-03-2020 01:00	27247232	6249164
METER000001	30-03-2020 01:30	27247306	6249178
METER000001	30-03-2020 02:00	27247379	6249192
METER000001	30-03-2020 02:30	27247451	6249207
METER000001	30-03-2020 03:00	27247523	6249217
METER000001	30-03-2020 03:30	27247595	6249226
METER000001	30-03-2020 04:00	27247669	6249238
METER000001	30-03-2020 04:30	27247742	6249252
METER000001	30-03-2020 05:00	27247815	6249267
METER000001	30-03-2020 05:30	27247893	6249284
METER000001	30-03-2020 06:00	27247982	6249303
METER000001	30-03-2020 06:30	27248105	6249327
METER000001	30-03-2020 07:00	27248228	6249351
METER000001	30-03-2020 07:30	27248352	6249373
METER000001	30-03-2020 08:00	27248477	6249396
METER000001	30-03-2020 08:30	27248599	6249415
METER000001	30-03-2020 09:00	27248724	6249437
